gvkey,year,name,ebit,mkvalt,sic,capx,ni,ibc,dp,at,dltt,dlc,seq,xrd,icapt,sale,sic2
22049,2019,DOREL INDUSTRIES INC,83.782,130.709,2511,21.28,-10.453,-10.453,95.785,1860.106,565.672,124.511,534.166,39.695,1099.838,2634.646,25
22051,2019,FIRST TR ALPHADEX US HEALTH,,,6722,,,,,,,,,,,,67
22052,2019,FIRST TR ALPHADEX US ENRG IX,,,6722,,,,,,,,,,,,67
22053,2019,CONTANGO OIL & GAS CO,-146.554,473.3493,1311,154.865,-159.796,-159.796,50.297,353.826,75.557,3.12,116.04,,191.597,76.512,13
22058,2019,FIRST TR ALPHADEX US TECH SE,,,6722,,,,,,,,,,,,67
22060,2019,FIRST TR ALPHADEX US UTILS,,,6722,,,,,,,,,,,,67
22061,2019,FIRST TR ALPHADEX US MATLS,,,6722,,,,,,,,,,,,67
22062,2019,FIRST TR ALPHADEX US IND SEC,,,6722,,,,,,,,,,,,67
22063,2019,FIRST TR ALPHADEX US CON DIS,,,6722,,,,,,,,,,,,67
22064,2019,FOUNTAIN ASSET CORP,-18.476,20.6479,6211,0,-18.505,-18.505,0,18.393,0,0,15.88,,15.88,-17.171,62
22065,2019,FIRST TR ALPHADEX US CONS ST,,,6722,,,,,,,,,,,,67
22070,2019,FIRST TR ALPHADEX US FINL SE,,,6722,,,,,,,,,,,,67
22072,2019,DOMMO ENERGIA SA,-28.82,,1311,21.721,-31.475,-31.475,21.179,333.298,144.817,57.008,-120.03,,24.787,108.995,13
22076,2019,ARK INNOVATION ETF,,,6722,,,,,,,,,,,,67
22077,2019,ARK GENOMIC REV MULTI-SECTOR,,,6722,,,,,,,,,,,,67
22082,2019,JOINT CORP (THE),3.576,224.0716,6794,3.483,3.324,3.324,1.899,43.706,11.935,2.337,5.721,,17.656,48.451,67
22085,2019,AZARGA URANIUM CORP,-4.366,29.2232,1090,1.317,-7.464,-3.975,0.045,41.851,0.07,0.045,37.243,,37.313,0,10
22086,2019,INTL BANCSHARES CORP,366.921,2808.164,6020,29.59,205.104,205.104,28.27,12112.894,577.324,426.536,2118.053,,2695.377,647.227,60
22086,2019,INTL BANCSHARES CORP,,2808.164,6020,,,,28.27,12112.894,577.324,426.536,2118.053,,2695.377,,60
22092,2019,CAMBRIA GLOBAL MOMENTUM ETF,,,6722,,,,,,,,,,,,67
22102,2019,FIRST TR EMG MKTS LOCAL CURR,,,6722,,,,,,,,,,,,67
22103,2019,FIRST TRUST INTL EQTY OPPRT,,,6722,,,,,,,,,,,,67
22104,2019,FIRST TR LOW DUR OPP ETF,,,6722,,,,,,,,,,,,67
22119,2019,ASHFORD INC,4.437,51.9908,6282,30.043,-13.855,-15.374,24.542,782.5,103.034,7.329,515.456,,623.249,291.25,62
22124,2019,LANDMARK INFRAST PRTNS LP,34.936,415.7892,6519,99.853,21.575,21.606,14.235,855.605,450.868,10.313,369.123,,820.192,60.172,65
22133,2019,JPMORGAN DIVR RET INTL EQTY,,,6722,,,,,,,,,,,,67
22134,2019,AXALTA COATING SYSTEMS LTD,568.8,7140.96,2851,112.5,249,252.6,258.7,6818,3859.7,73.2,1354.2,70.2,5269.3,4482.2,28
22138,2019,TANTECH HOLDINGS LTD,0.675,52.2239,2860,0.092,-6.357,-9.659,0.904,115.451,0,7.067,90.186,0.327,94.532,49.231,28
22141,2019,INVESCO OPTIMUM YLD DIVR ETF,,,6722,,,,,,,,,,,,67
22144,2019,MICRON SOLUTIONS INC,-1.585,6.9477,3845,0.169,-2.141,-2.141,1.464,8.734,0.47,4.832,2.202,0.08,2.672,17.499,38
22155,2019,FLOOR & DECOR HLDGS,171.149,5155.081,5211,196.008,150.631,150.631,69.887,2324.309,986.875,74.592,764.336,0,1751.211,2045.456,52
22164,2019,MOMO INC  -ADR,460.987,,7370,26.788,426.668,425.214,51.155,3229.021,719.639,19.412,1943.136,157.264,2689.878,2443.643,73
22165,2019,ON DECK CAPITAL INC,64.792,274.747,6159,12.454,27.955,23.635,6.934,1304.583,940.346,12.63,294,,1251.02,444.486,61
22165,2019,ON DECK CAPITAL INC,,274.747,6159,,,,6.934,1304.583,940.346,12.63,294,,1251.02,,61
22167,2019,VANECK VECTORS CHINAAMC BOND,,,6722,,,,,,,,,,,,67
22168,2019,UNIROYAL GLOBAL ENGINEERED,2.979,14.01,2200,1.966,-2.165,0.961,2.372,65.766,15.329,23.572,9.696,1.634,26.106,91.136,22
22169,2019,ETFMG PRIME CYBR SCURTY ETF,,,6722,,,,,,,,,,,,67
22180,2019,UNIQUE FABRICATING INC,5.689,37.7469,3714,2.759,-9.068,-9.068,6.863,101.668,44.638,2.847,39.46,,84.098,152.489,37
22186,2019,BMO INTL DIVIDEND ETF,,,6722,,,,,,,,,,,,67
22188,2019,BMO MSCI ALL CTRY WRLD HI QU,,,6722,,,,,,,,,,,,67
22190,2019,BMO MSCI USA HI QUAL INDEX,,,6722,,,,,,,,,,,,67
22193,2019,FLEXSHARES CREDIT-SCORED US,,,6722,,,,,,,,,,,,67
22200,2019,EMERG MKTS INTERNET & ECOMRC,,,6722,,,,,,,,,,,,67
22201,2019,COUNTY BANCORP INC,,172.5924,6020,,,,1.679,1378.779,71.652,18.4,172.029,,243.681,,60
22201,2019,COUNTY BANCORP INC,31.559,172.5924,6020,0.659,16.452,16.452,1.679,1378.779,71.652,18.4,172.029,,243.681,79.725,60
22207,2019,TRUEBLUE INC,67.741,895.5613,7363,28.119,63.073,63.073,37.549,1136.155,65.949,14.358,625.973,,691.922,2368.779,73
22215,2019,HEMOSTEMIX INC,-4.696,3.009,2836,0.006,-4.87,-4.87,0.002,0.104,0,2.064,-4.045,2.351,-4.045,0,28
22237,2019,CI FIRST ASSET MRNSTR INTL,,,6722,,,,,,,,,,,,67
22238,2019,CI FIRST ASSET MNSTR INTL MT,,,6722,,,,,,,,,,,,67
22258,2019,BELLICUM PHARMACEUTICALS INC,-85.3,64.6135,2836,0.522,-112.477,-112.477,7.175,116.25,26.581,11.454,-4.749,64.535,21.832,7.143,28
22260,2019,HCA HEALTHCARE INC,7218,50025.7033,8062,4158,3505,4145,2596,45058,35076,495,-2808,0,34511,51336,80
22267,2019,CENTURY FINANCIAL CORP,7.771,44.1095,6020,0.232,4.624,4.624,0.425,322.09,8.259,0,42.19,,50.449,18.095,60
22267,2019,CENTURY FINANCIAL CORP,,44.1095,6020,,,,0.425,322.09,8.259,0,42.19,,50.449,,60
22284,2019,SMART SAND INC,55.753,101.3897,1400,25.525,31.623,31.623,27.823,361.603,43.709,19.283,244.143,,287.852,233.073,14
22297,2019,CI FIRST ASSET GLBL FINL SEC,,,6726,,,,,,,,,,,,67
22304,2019,PURPOSE US DIVIDEND FUND,,,6722,,,,,,,,,,,,67
22307,2019,MILLER/HOWARD HGH INCM EQ FD,,,6726,,,,,,,,,,,,67
22310,2019,NUVEEN GLOBAL HIGH INCOME FD,,,6726,,,,,,,,,,,,67
22315,2019,SPDR MSCI ACWI LOW CARBON,,,6722,,,,,,,,,,,,67
22338,2019,UTG INC,20.187,116.369,6311,0,16.271,16.596,0.261,418.746,0,0,130.973,,131.497,44.195,63
22347,2019,KRANESHARES E FD CHINA COMML,,,6722,,,,,,,,,,,,67
22350,2019,NEUTRISCI INTERNATIONAL INC,-1.272,,2834,0,-1.244,-1.244,0.004,0.389,0,0,-0.12,,-0.12,0.075,28
22352,2019,MERION INC,-0.913,49.6734,2834,0,-0.722,-0.722,0.055,1.112,0.467,1.594,-5.316,0.001,-4.849,1.808,28
22358,2019,BRIACELL THERAPEUTICS CORP,-6.223,12.7646,2836,0,-5.79,-5.79,0.019,0.546,0,0.396,-0.846,4.917,-0.846,0,28
22359,2019,ISHARES IBONDS DEC 2020 TRM,,,6722,,,,,,,,,,,,67
22373,2019,GENASYS INC,3.136,110.3825,3651,0.343,2.785,2.785,0.825,47.12,0.033,0.28,35.381,4.528,35.414,36.979,36
22381,2019,ISHARES MSCI ACWI LOW CARBON,,,6722,,,,,,,,,,,,67
22382,2019,ETF SERIES VALIDEA MKT LEGND,,,6722,,,,,,,,,,,,67
22386,2019,WISDOMTREE EMG MKT EX-STATE,,,6722,,,,,,,,,,,,67
22390,2019,XTRACKERS MSCI EUROZN HGD EQ,,,6722,,,,,,,,,,,,67
22399,2019,CAMBRIA GLBL ASST ALLOCATION,,,6722,,,,,,,,,,,,67
22402,2019,RESTAURANT BRANDS INTL LP,2023,12855.5608,5812,62,1109,1111,180,22360,13136,227,4255,0,17395,5603,58
22405,2019,BRIXMOR OPERATING PRTNRS LP,413.951,,6798,0,274.773,274.773,,8142.48,4905.892,0,2743.841,0,7649.733,1168.957,67
22439,2019,CURO GROUP HLDGS CORP,232.152,501.2801,6141,13.981,111.488,103.898,18.63,1081.895,915.543,0,50.513,,966.056,1141.797,61
22447,2019,PAR PACIFIC HOLDINGS INC,152.684,1237.623,2911,83.92,40.809,40.809,78.231,2700.56,946.77,94.08,648.242,,1595.012,5401.516,29
22449,2019,AURORA CANNABIS INC,-297.027,10438.9241,2834,414.298,-290.837,-297.924,75.62,5502.83,395.158,249.667,4385.637,14.778,4785.205,247.939,28
22459,2019,URBAN EDGE PROPERTIES,100.434,2327.8766,6798,0,109.523,116.197,,2846.358,1621.575,7.515,967.816,0,2636.351,397.423,67
22459,2019,URBAN EDGE PROPERTIES,,2327.8766,6798,,,,102.916,2846.358,1621.575,7.515,967.816,,2641.488,,67
22460,2019,CRONOS GROUP INC,-112.473,3477.7055,6799,50.149,1513.005,1511.796,5.075,2711.387,8.664,0.554,2269.669,15.766,2277.226,30.805,67
22482,2019,VIRTUS LIFESCI BIOT PROD ETF,,,6722,,,,,,,,,,,,67
22483,2019,VIRTUS LISCI BIOTC CLCAL ETF,,,6722,,,,,,,,,,,,67
22488,2019,ALPHA ARCHI INTL QNT VAL ETF,,,6722,,,,,,,,,,,,67
22543,2019,GOOD TIMES RESTAURANTS INC,-3.5,20.191,5812,8.079,-5.137,-4.248,4.345,59.905,12.85,0,27.398,0,41.77,110.758,58
22555,2019,EAGLE CAPITAL GROWTH FUND,,,6726,,,,,,,,,,,,67
22559,2019,REALITY SHARES DIVS ETF,,,6722,,,,,,,,,,,,67
22570,2019,ALMADEN MINERALS LTD,-4.643,84.9125,1000,3.752,-3.763,-3.763,0.145,74.064,2.712,0.122,68.585,0,71.297,0,10
22584,2019,HARVEST HLTHCARE LED INC ETF,,,6726,,,,,,,,,,,,67
22590,2019,PIERIS PHARMACEUTICALS INC,-27.157,199.8674,2836,2.462,-25.469,-25.469,0.632,141.097,15.484,0.733,51.352,54.996,66.836,46.279,28
22603,2019,SUMMIT MATERIALS INC,215.78,2708.0851,1400,177.495,59.066,61.123,201.116,4067.556,1916.848,32.376,1427.407,,3361.621,2222.14,14
22604,2019,ASCENDIS PHARMA AS -ADR,-254.421,,2836,5.789,-244.654,-244.654,7.505,759.417,34.473,6.62,670.071,215.034,704.544,15.009,28
22627,2019,POWERSHARES RUSS 1000 EQ WT,,,6722,,,,,,,,,,,,67
22632,2019,LANNETT CO INC,129.77,230.3467,2834,24.34,-272.107,-272.107,55.594,1187.413,662.203,66.845,334.041,38.807,996.244,655.407,28
22638,2019,ZOOMINFO TECHNOLOGIES,67.2,,7370,13.6,-78,-78,48.7,1561.9,1235.3,12.7,-13.6,30.1,1221.7,293.3,73
22671,2019,EARTHSTONE ENERGY INC,52.987,186.2349,1311,204.795,0.719,1.58,69.457,1125.543,172.624,0.776,345.599,,1008.375,191.262,13
22672,2019,SHAKE SHACK INC,27.163,2050.2207,5812,106.507,19.827,24.128,40.392,968.268,308.557,31.875,298.817,0,630.542,594.519,58
22674,2019,EASTERLY GOVERNMENT PPTYS,35.439,1775.7634,6798,0,7.207,8.224,,2234.589,899.077,3.564,1062.621,,2098.918,221.722,67
22675,2019,HAILIANG EDUCATION GRP -ADR,54.529,,8200,11.669,42.728,45.984,19.444,364.475,0,0,240.537,,245.989,218.289,82
22676,2019,CHECK-CAP LTD,-14.069,14.2296,3845,0.167,-13.836,-13.836,0.115,9.429,0.211,0.222,6.234,10.474,6.445,0,38
22696,2019,ALPS MEDICAL BREAKTHROUGHS,,,6722,,,,,,,,,,,,67
22697,2019,TRACON PHARMACEUTICALS INC,-22.296,9.4793,2836,0,-22.674,-22.674,0.022,18.121,3.309,2.959,2.698,14.53,6.007,0,28
22704,2019,AVINGER INC,-19.359,11.8161,3841,0.088,-19.45,-19.45,0.89,23.825,4.135,9.689,6.895,5.692,11.03,9.131,38
22706,2019,PRINCETON CAPITAL CORP,-1.087,42.1701,6797,0,-8.275,-8.275,0,34.114,0,0,33.28,,33.28,1.146,67
22708,2019,INOVALON HOLDINGS INC,76.726,2918.5491,7370,58.939,7.775,7.775,108.25,1908.634,945.893,20.418,688.159,33.686,1634.052,642.41,73
22713,2019,HTG MOLECULAR DIAGNOSTICS,-18.959,40.7734,2835,1.103,-19.298,-19.298,1.259,45.119,7.578,3.788,23.97,10.57,31.548,19.204,28
22717,2019,STOCK YARDS BANCORP INC,104.095,928.1202,6020,5.098,66.067,66.067,,3724.197,38.642,98.462,406.297,,444.939,197.413,60
22717,2019,STOCK YARDS BANCORP INC,,928.1202,6020,,,,,3724.197,38.642,98.462,406.297,,444.939,,60
22727,2019,PUREBASE CORP,-1.349,83.4604,1000,0,-3.133,-3.133,0.002,0.231,0,0.158,-0.746,,-0.746,0.362,10
22731,2019,PATRIOT TRANSPORTATION HLDG,0.322,59.9829,4213,9.576,1.763,1.763,8.47,72.293,0,0,54.797,,54.797,108.716,42
22741,2019,CHEMOURS CO,603,2959.0537,2860,481,-52,-52,311,7258,4271,200,689,80,4966,5526,28
22783,2019,KENON HOLDINGS LTD,50.442,1133.517,4991,34.141,-13.359,-22.211,32.092,1508.374,581.789,46.466,623.352,,1293.577,373.473,49
22787,2019,TETRA BIO-PHARMA INC,-13.861,,2836,0.255,-15.283,-14.246,0.027,28.568,0,0,24.652,6.199,24.652,0,28
22788,2019,GRNTSHRS HIPS US HGH INC ETF,,,6722,,,,,,,,,,,,67
22796,2019,PORTFOLIOPLUS S&P SMALL CAP,,,6722,,,,,,,,,,,,67
22799,2019,JPMORGAN DIVR RET EMG MKT EQ,,,6722,,,,,,,,,,,,67
22802,2019,PORTFOLIOPLUS S&P 500 ETF,,,6722,,,,,,,,,,,,67
22803,2019,COHBAR INC,-12.583,68.9104,2836,0.15,-13.045,-13.045,0.148,13.532,3.356,0,8.137,6.632,11.493,0,28
22815,2019,TRIMBLE INC,424.3,10418.331,3829,69,514.3,514.5,207.2,6640.7,1738.3,247.9,3119,469.7,4858.7,3264.3,38
22817,2019,VERU INC,-6.436,140.4821,3060,0.109,-12.017,-12.017,0.471,53.629,6.732,5.386,32.333,13.744,39.065,31.803,30
22853,2019,GREAT AJAX CORP,89.844,327.923,6798,0,34.705,37.089,0,1576.841,771.531,414.114,359.882,0,1155.615,117.924,67
22861,2019,CKX LANDS INC,0.111,18.0956,6792,0.027,0.25,0.25,0.002,15.863,0,0,15.447,,15.447,0.811,67
22864,2019,MERCURITY FNTCH HLD INC -ADR,0.456,,5961,0,-1.225,0.483,,8.871,0,0,8.035,0,8.035,1.738,59
22867,2019,INVITAE CORP,-195.508,1593.5795,8071,20.047,-241.965,-241.965,14.815,781.601,312.101,6.725,379.64,141.526,691.741,216.824,80
22872,2019,ISHARES MSCI INTL QUALITY FA,,,6722,,,,,,,,,,,,67
22873,2019,ISHARES EDGE MSCI INTL MMNTM,,,6722,,,,,,,,,,,,67
22874,2019,AGFIQ HEDGED DIV INCOME FUND,,,6722,,,,,,,,,,,,67
22879,2019,GREENPRO CAPITAL CORP,-1.567,31.1927,8741,0.006,-1.345,-1.35,0.265,8.884,1.654,0.85,3.167,,5.008,4.485,87
22905,2019,HORIZONS CDN INSIDER IDX ETF,,,6722,,,,,,,,,,,,67
22927,2019,BELLEROPHON THERAPEUTICS INC,-17.473,24.0251,3845,0,-13.267,-13.267,0.348,13.108,1.659,0.658,3.591,9.866,5.25,0,38
22940,2019,ISHARES SH TRM STRAT FXD INC,,,6722,,,,,,,,,,,,67
22962,2019,RESERVE PETROLEUM CO,-1.006,32.5775,1311,2.084,-0.267,-0.267,2.868,35.724,0,0,32.127,,32.127,6.628,13
22964,2019,ESSA PHARMA INC,-12.169,69.9679,2836,0,-10.442,-10.442,0.018,54.774,0,3.709,49.181,6.696,49.181,0,28
22970,2019,FIRST CAPITAL REL EST INV TR,449.78,4505.1092,6512,479.832,401.345,414.34,4.511,10161.36,4443.56,289.934,4426.592,0,8919.066,779.822,65
22970,2019,FIRST CAPITAL REL EST INV TR,,4505.1092,6512,,,,4.511,10161.36,4443.56,289.934,4426.592,,9620.615,,65
22975,2019,FIRST NORTHWEST BANCRP,18.977,180.1759,6036,0.426,9.014,9.014,1.59,1307.336,53.656,62.93,176.851,,230.507,56.325,60
22975,2019,FIRST NORTHWEST BANCRP,,180.1759,6036,,,,1.59,1307.336,53.656,62.93,176.851,,230.507,,60
22983,2019,XENIA HOTELS & RESORTS INC,120.058,2434.8203,6798,0,55.4,57.243,,3263.006,1315.953,4.365,1739.021,0,3091.111,1149.087,67
22983,2019,XENIA HOTELS & RESORTS INC,,2434.8203,6798,,,,155.053,3263.006,1315.953,4.365,1739.021,,3091.111,,67
22985,2019,FAIRFAX INDIA HLDGS CORP,645.208,1962.9873,6799,0,516.338,516.338,0,3244.937,0,547.228,2577.851,,2577.851,726.495,67
23007,2019,FIDELITY MSCI R E INDEX ETF,,,6722,,,,,,,,,,,,67
23010,2019,PROSHARES S&P400 DIV ARISTO,,,6722,,,,,,,,,,,,67
23014,2019,SPDR S&P 500 BUYBACK ETF,,,6722,,,,,,,,,,,,67
23018,2019,PROSHARES RUSSELL2000 DIV GR,,,6722,,,,,,,,,,,,67
23027,2019,EXPONENT INC,85.111,3571.6816,8742,23.038,82.46,82.46,6.806,563.411,18.158,5.944,350.251,,368.409,417.199,87
23048,2019,MEXICO EQUITY & INCOME FUND,,,6726,,,,,,,,,,,,67
23053,2019,CI FIRST ASSET ENRGY GINTS,,,6722,,,,,,,,,,,,67
23057,2019,INVESCO S&P HIGH INCOME INFR,,,6722,,,,,,,,,,,,67
23060,2019,BLACKHAWK BANCORP INC,23.529,91.7658,6020,,9.603,,,963.861,19.155,10,97.324,,116.479,55.78,60
23060,2019,BLACKHAWK BANCORP INC,,91.7658,6020,,,,,963.861,19.155,10,97.324,,116.479,,60
23061,2019,REBEL GROUP INC,-5.075,139.0493,7900,0.018,-10.831,-10.831,0.036,0.261,0.041,2.068,-4.024,,-3.983,0.14,79
23071,2019,GODADDY INC,209.7,11741.1266,7370,87.6,137,138.4,206,6301.2,2569.7,57.9,772,492.6,3351.8,2988.1,73
23077,2019,UNITI GROUP INC,345.225,1577.4858,6798,0,10.582,10.908,,5017,5198.552,0,-1566.868,0,3715.388,1057.611,67
23077,2019,UNITI GROUP INC,,1577.4858,6798,,,,405.754,5017,5198.552,,-1566.868,,3739.819,,67
23081,2019,KRANESHARES FTSE EM MKT PLUS,,,6722,,,,,,,,,,,,67
23083,2019,ENERGIZER HOLDINGS INC,426.9,3002.7492,3690,55.1,51.1,64.7,95.8,5449.6,3461.6,33.5,543.8,32.8,4005.4,2494.5,36
23084,2019,BENCHMARK ELECTRONICS INC,49.327,1269.8425,3672,32.576,23.425,23.425,47.966,1759.874,206.81,19.868,1014.832,,1221.642,2268.095,36
23086,2019,NEXPOINT RESIDENTIAL TR INC,14.909,1136.07,6798,0,99.14,99.438,12.726,1865.989,1402.042,1.006,426.241,0,1831.578,181.066,67
23086,2019,NEXPOINT RESIDENTIAL TR INC,,1136.07,6798,,,,69.086,1865.989,1402.042,1.006,426.241,,1831.578,,67
23093,2019,FORTERRA INC,81.553,748.406,3272,53.709,-7.331,-7.331,97.258,1740.058,1277.569,37.836,120.967,,1398.536,1529.752,32
23095,2019,ISHARES US HIGH DIV EQ INDX,,,6722,,,,,,,,,,,,67
23096,2019,ISHARES ALL CNTY WLD EX CAN,,,6722,,,,,,,,,,,,67
23098,2019,ARCADIA BIOSCIENCES INC,-19.719,47.3801,2836,1.477,-28.805,-28.873,0.194,32.574,1.604,0.635,7.705,7.098,9.93,1.169,28
23101,2019,ISHARES S&P US TOTL MKT ETF,,,6722,,,,,,,,,,,,67
23105,2019,ISHARES MSCI EAFE IMI CDN-HD,,,6722,,,,,,,,,,,,67
23106,2019,VIEWRAY INC,-112.895,621.1502,3845,7.76,-120.199,-120.199,4.698,350.019,64.474,3.82,216.174,23.794,280.648,87.782,38
23108,2019,SYLOGIST LTD,13.118,255.9816,7373,0.145,10.009,10.009,3.78,78.19,0,0,58.499,1.923,58.499,37.612,73
23109,2019,GENESIS HEALTHCARE INC,51.284,178.1581,8051,62.727,14.619,7.474,123.159,4662.14,4171.732,306.152,-760.935,0,3089.167,4565.834,80
23110,2019,ISHARES S&P US TTL MKT CD-HG,,,6722,,,,,,,,,,,,67
23115,2019,PACIFIC GLOBAL SENR LOAN ETF,,,6722,,,,,,,,,,,,67
23116,2019,ETF MGRS GRP TR I SIT RISING,,,6722,,,,,,,,,,,,67
23119,2019,SOLAREDGE TECHNOLOGIES INC,223.769,4649.7108,3674,72.562,146.549,144.957,26.895,1494.624,32.785,25.494,811.67,121.351,844.455,1425.66,36
23147,2019,NATIONAL STORAGE AFFILIATES,120.562,2005.7356,6798,0.862,3.983,66.013,,3084.245,1518.065,40.647,919.63,0,2970.166,382.926,67
23147,2019,NATIONAL STORAGE AFFILIATES,,2005.7356,6798,,,,,3084.245,1518.065,40.647,919.63,,2970.166,,67
23150,2019,JERNIGAN CAPITAL INC,16.504,429.1762,6798,2.158,44.406,44.406,,812.777,202.791,0,588.874,0,791.665,45.696,67
23150,2019,JERNIGAN CAPITAL INC,,429.1762,6798,,,,6.262,812.777,202.791,0,588.874,,791.665,,67
23156,2019,SPDR DOUBLELINE TOT RET TACT,,,6722,,,,,,,,,,,,67
23167,2019,BLUE BIRD CORP,64.966,503.9707,3713,35.514,24.3,24.3,10.383,365.413,184.805,11.803,-67.811,11.5,116.994,1018.874,37
23168,2019,HARTFORD MULTI DEV MKT EX-US,,,6722,,,,,,,,,,,,67
23169,2019,HARTFORD MULTI EMER MRKT ETF,,,6722,,,,,,,,,,,,67
23172,2019,HARTFORD MLT US EQTY ETF,,,6722,,,,,,,,,,,,67
23173,2019,HORIZONS ACTIVE US DIV ETF,,,6722,,,,,,,,,,,,67
23184,2019,ISHARES U.S. FIXED INCOME BA,,,6722,,,,,,,,,,,,67
23187,2019,ARROW QVM EQUITY FACTOR ETF,,,6722,,,,,,,,,,,,67
23188,2019,XTRACKERS J.P. MORGAN ESG US,,,6722,,,,,,,,,,,,67
23189,2019,XTRACKERS BLOOMBERG BARCLAYS,,,6722,,,,,,,,,,,,67
23190,2019,XTRACKERS J.P. MORGAN ESG EM,,,6722,,,,,,,,,,,,67
23192,2019,ISHARES SHORT MATURITY MUNI,,,6722,,,,,,,,,,,,67
23195,2019,MATRIX SERVICE CO,37.93,543.1098,1623,19.558,27.982,27.982,18.224,633.394,5.347,0,351.957,,357.304,1416.68,16
23224,2019,ESCO TECHNOLOGIES INC,112.852,2067.0484,3825,37.183,81.039,81.039,40.05,1466.72,294.98,23.093,826.222,15.8,1121.202,812.97,38
23225,2019,CABLE ONE INC,334.922,8506.6061,4841,262.352,178.582,178.582,216.687,3151.831,1723.083,33.51,841.569,,2564.652,1167.997,48
23226,2019,INUVO INC,-6.622,15.3309,7370,1.194,-4.488,-4.488,3.245,30.691,0.395,4.361,12.542,,12.937,61.525,73
23228,2019,WISDOMTREE EUR HDG SMLCP EQ,,,6722,,,,,,,,,,,,67
23238,2019,ETSY INC,92.678,5242.5949,7370,15.278,95.894,95.894,48.031,1542.352,861.059,12.409,406.634,121.878,1267.693,818.379,73
23241,2019,OPGEN INC,-10.97,6.3077,2835,0.032,-12.446,-12.446,0.921,10.422,1.19,1.97,4.293,5.121,5.483,3.499,28
23243,2019,KORNIT DIGITAL LTD,10.707,1392.6133,3555,5.416,10.167,10.167,4.467,405.466,19.231,3.902,338.303,22.407,357.534,179.866,35
23245,2019,TOPBUILD CORP,292.462,3452.1492,1700,45.536,190.995,190.995,52.7,2603.963,751.965,70.366,1152.889,,1904.854,2624.121,17
23247,2019,PJT PARTNERS INC,70.041,1041.465,6200,8.811,29.562,63.787,14.496,952.777,204.615,0,31.39,,779.132,704.951,62
23247,2019,PJT PARTNERS INC,,1041.465,6200,,,,14.496,952.777,204.615,,31.39,,779.132,,62
23249,2019,LUMENTUM HOLDINGS INC,195.3,4094.0367,3576,167.3,-36.7,-36.4,157.5,2716.6,835.9,5.8,1497.1,184.6,2333,1565.3,35
23252,2019,ETHAN ALLEN INTERIORS INC,54.495,559.9222,2510,9.12,25.698,25.698,19.637,510.351,0.516,0.55,363.866,,364.445,746.684,25
23256,2019,TALLGRASS ENERGY GROUP LP,352.76,3972.3981,4922,285.653,248.809,448.555,128.825,6214.086,3452.255,1.497,1801.802,,5645.133,868.548,49
23291,2019,BIOLASE INC,-15.621,17.3763,3843,0.207,-17.855,-17.855,0.982,31.847,0.003,13.789,4.342,4.765,4.345,37.799,38
23296,2019,ENVIVA PARTNERS LP,74.963,1248.2807,2400,111.269,-2.943,-2.943,50.521,994.818,629.899,8.029,280.768,,862.475,684.393,24
23297,2019,XBIOTECH INC,-31.233,774.9708,2836,0.204,668.629,668.629,2.361,816.877,0,0,755.631,24.09,755.631,0,28
23325,2019,ISHARES IBONDS DEC 2021 TRM,,,6722,,,,,,,,,,,,67
23326,2019,ISHARES IBONDS DEC 2023 TRM,,,6722,,,,,,,,,,,,67
23327,2019,ISHARES IBONDS DEC 2024 TRM,,,6722,,,,,,,,,,,,67
23328,2019,ISHARES IBONDS DEC 2022 TRM,,,6722,,,,,,,,,,,,67
23331,2019,ISHARES IBONDS DEC 2025 TRM,,,6722,,,,,,,,,,,,67
23332,2019,PACER CSOP FTSE CHNA A50 ETF,,,6722,,,,,,,,,,,,67
23335,2019,ADURO BIOTECH INC,-81.386,95.2685,2836,1.26,-82.372,-82.372,4.863,291.313,31.636,1.803,65.595,72.051,97.231,17.258,28
23339,2019,KEMPHARM INC,-20.337,13.7879,2834,0.026,-24.522,-24.522,0.304,10.507,79.412,0.52,-74.456,19.415,4.956,12.839,28
23351,2019,GLOBAL X MSCI SUPERDIV EMERG,,,6722,,,,,,,,,,,,67
23352,2019,GLOBAL X SUPERDIV REIT ETF,,,6722,,,,,,,,,,,,67
23353,2019,GOLDMAN SACHS BDC INC,116.032,859.0098,6797,0,36.148,36.148,0,1475.275,769.727,0,676.125,,1445.852,147.261,67
23357,2019,QNB CORP,21.242,136.048,6020,3.086,12.357,12.357,1.447,1225.023,4.143,55.931,120.717,,124.86,54.735,60
23357,2019,QNB CORP,,136.048,6020,,,,1.447,1225.023,4.143,55.931,120.717,,124.86,,60
23358,2019,CIDARA THERAPEUTICS INC,-41.724,129.9379,2836,0.035,-41.092,-41.092,0.328,68.976,0.942,10.783,37.835,46.401,38.777,20.915,28
23362,2019,AEQUUS PHARMACEUTICALS INC,-2.218,10.0548,2834,0.003,-3.106,-3.106,0.31,1.673,2.074,0.144,-0.877,0.211,1.197,1.633,28
23369,2019,STRATEGIC ACQUISITIONS INC,-0.087,0.6011,9995,0,-0.087,-0.087,0,0.066,0,0,0.066,,0.066,0,99
23370,2019,SHINECO INC,0.549,15.45,2834,0.138,0.796,0.882,0.791,83.739,0,2.41,71.532,,72.632,31.22,28
23378,2019,ISHARES EXPNENTL TECHNOL ETF,,,6722,,,,,,,,,,,,67
23391,2019,NORTH STATE TELECOMMUN CORP,11.017,181.12,4813,15.337,8.617,8.617,18.878,240.121,48.622,5.196,94.866,,143.488,135.916,48
